area,bedrooms,bathrooms,location,price
1388,3,1,Satna,1428342.6536831858
1351,3,1,Bhopal,1848533.7913710766
757,1,2,Satna,692701.7416133824
848,2,2,Sagar,1054961.1983828184
1254,3,2,Noida,3153728.4824930197
1366,3,1,Sagar,1231424.200383954
608,1,2,Pune,1241049.3797412699
1234,3,1,Satna,1556512.2810939534
853,2,2,Jabalpur,1342100.8153448268
1451,3,2,Rewa,1311900.0387715755
710,1,1,Pune,1657461.3159618631
688,1,1,Mumbai,1773995.551938137
680,1,3,Noida,1741323.3429297868
827,2,3,Sagar,1283551.4602997133
861,2,1,Rewa,983475.8599422183
1426,3,3,Mumbai,2665987.2507607304
804,2,3,Mumbai,2224373.032025194
662,1,3,Noida,1913237.7817715486
750,1,1,Bhopal,910415.8777879041
685,1,3,Noida,1828663.285416372
933,2,1,Sagar,1000013.9360658304
1147,2,3,Rewa,989192.333466161
1176,2,1,Mumbai,2160687.947742721
1424,3,1,Indore,1565766.8252513306
1359,3,3,Jabalpur,1797072.7656877341
611,1,2,Bhopal,948699.5463492649
900,2,3,Mumbai,2067232.159987972
1023,2,2,Rewa,1207429.9439308308
1252,3,2,Pune,2848080.4199370523
1479,3,1,Jabalpur,1804968.562158345
1194,2,2,Jabalpur,1448712.052822934
1347,3,2,Noida,2685707.6212876705
1346,3,2,Noida,2703473.143396045
777,1,3,Sagar,810113.6684712264
1062,2,2,Noida,2271384.8506745305
647,1,2,Mumbai,1911376.5432630135
608,1,1,Rewa,702565.1666634046
915,2,1,Satna,875877.7707770051
911,2,2,Noida,1930957.9381472159
960,2,3,Sagar,864476.178684456
1183,2,1,Bhopal,1361709.6380390706
1221,3,3,Jabalpur,1768743.7633393009
1063,2,2,Noida,2239556.3890962983
1346,3,1,Indore,1895190.7276835267
605,1,1,Indore,916866.3950471149
1390,3,1,Bhopal,1679171.7088298833
1327,3,1,Noida,2740889.140776162
1313,3,2,Satna,1490848.9915251725
926,2,3,Pune,2224622.4671159596
775,1,1,Jabalpur,956387.6074216538
1105,2,3,Noida,2411973.8360776957
664,1,1,Bhopal,866269.9679888827
942,2,2,Noida,2095673.67921427
985,2,3,Sagar,1078630.9689575725
648,1,2,Jabalpur,855188.0408100738
652,1,1,Satna,706663.9303683366
605,1,3,Bhopal,964864.4212373708
1323,3,1,Pune,3016853.225529667
1474,3,1,Satna,1373042.7661079431
1038,2,2,Mumbai,2110329.4967429703
1036,2,2,Sagar,1033853.9501111959
1285,3,3,Noida,2576028.742126815
893,2,1,Mumbai,2326588.101352437
838,2,2,Indore,1302406.1960274917
822,2,2,Indore,1084088.4423375514
615,1,1,Bhopal,863256.6104324091
1359,3,2,Mumbai,2852000.2416175613
770,1,1,Noida,1863831.3525116316
1367,3,1,Mumbai,2998273.8233526126
692,1,2,Satna,813488.9909987494
914,2,2,Pune,2050845.606329861
763,1,3,Satna,757508.3848271592
737,1,1,Bhopal,966020.1645403715
1295,3,2,Mumbai,2799412.8603921332
982,2,1,Mumbai,2252614.8347506835
711,1,1,Bhopal,915049.629783828
776,1,3,Noida,1337640.6317636482
1268,3,3,Indore,1730117.849379671
652,1,3,Indore,1026328.0164318542
1362,3,2,Indore,2003322.0496823667
1438,3,3,Pune,2623228.893146676
773,1,2,Rewa,832790.8609961607
1082,2,1,Pune,2331793.9574924903
1500,3,3,Sagar,1568560.8133480323
1163,2,3,Noida,2282292.4244886483
1372,3,2,Noida,2454976.0374145815
1116,2,2,Bhopal,1508481.8896600904
1111,2,1,Mumbai,2220021.383093243
679,1,2,Indore,979259.410607416
1104,2,3,Sagar,1170204.4081449625
1253,3,1,Indore,1816093.0933515907
689,1,2,Bhopal,965116.8720620672
1027,2,1,Sagar,1237038.5425723111
756,1,1,Bhopal,904852.9472301982
1281,3,1,Jabalpur,1779010.5555553278
1050,2,2,Pune,1895684.4333812643
1264,3,1,Jabalpur,1737483.394208391
1297,3,3,Mumbai,2620327.91888313
1205,3,1,Indore,1968085.2176718041
1252,3,1,Rewa,1618771.0121813624
884,2,3,Mumbai,2071628.4371312193
638,1,2,Satna,807075.1086323019
1058,2,2,Jabalpur,1326813.0943725056
744,1,2,Sagar,710564.6148841244
1265,3,3,Indore,2006477.908169357
897,2,2,Pune,2295972.6608501202
1448,3,3,Noida,2757533.1302081146
1280,3,2,Noida,3151001.968319068
1139,2,1,Mumbai,2105089.8885345818
710,1,2,Noida,1353500.914032113
1207,3,3,Jabalpur,1642109.5631953164
1260,3,3,Pune,2736195.5798351783
1291,3,1,Indore,1706408.388973872
776,1,1,Pune,1509591.7259141996
625,1,3,Sagar,832041.5546815349
825,2,3,Mumbai,2426457.7070407127
646,1,3,Bhopal,1032761.3248110868
1353,3,2,Satna,1262791.1236188053
1310,3,3,Noida,2964461.420775808
1318,3,3,Sagar,1479898.8857592808
1072,2,3,Sagar,951972.1335399809
624,1,1,Bhopal,955656.4808845264
1310,3,1,Pune,2814016.1028305404
700,1,3,Sagar,800296.1719671987
1114,2,2,Satna,1201966.5572561782
869,2,1,Jabalpur,1172451.6131250944
1110,2,3,Satna,1233328.9264768462
1317,3,3,Jabalpur,1765769.0465327632
993,2,3,Sagar,1056978.481232473
667,1,2,Jabalpur,960492.9720374779
689,1,1,Mumbai,1691324.6032725691
1360,3,1,Noida,2581879.8266136143
937,2,1,Rewa,1262995.0622645647
672,1,3,Indore,1024011.1434335372
1237,3,3,Satna,1479920.9999294376
1175,2,2,Indore,1545989.8400811981
800,2,3,Noida,2416464.0456659454
1469,3,1,Indore,1944497.765833771
1204,3,1,Indore,1684544.961938751
745,1,1,Sagar,799114.0546475827
1324,3,2,Noida,2642285.9169380567
793,1,1,Mumbai,1634394.4348475295
1397,3,3,Noida,2918435.670284626
1430,3,3,Mumbai,2931128.721403692
696,1,2,Sagar,789450.6656332227
922,2,2,Indore,1454041.33469328
1164,2,2,Bhopal,1167131.2557653473
675,1,1,Bhopal,971245.6746046904
1442,3,3,Noida,2890256.6029664483
1237,3,2,Satna,1414472.1919121696
1409,3,3,Satna,1539617.9516510165
726,1,1,Satna,674889.0442516692
1250,3,2,Sagar,1508425.1668590042
781,1,2,Bhopal,1023620.7829401649
654,1,3,Jabalpur,891041.806197077
656,1,1,Bhopal,866211.2656768637
624,1,3,Bhopal,1060616.1374806538
1327,3,2,Mumbai,2657614.592013544
1351,3,3,Jabalpur,1937368.8718100486
1248,3,2,Pune,2513055.701049846
717,1,1,Bhopal,961852.0909073746
1410,3,1,Rewa,1375873.0927380263
1085,2,1,Mumbai,2216456.4434368354
1393,3,3,Pune,2869777.1306634685
778,1,2,Jabalpur,898795.9507079128
1361,3,3,Noida,2714330.579033128
1207,3,3,Pune,2453290.0890741027
1253,3,3,Satna,1394557.5453955585
696,1,3,Noida,1666028.7418891347
964,2,2,Bhopal,1151684.2817269366
806,2,3,Rewa,1166922.6967442317
628,1,3,Bhopal,987928.2859693901
810,2,1,Indore,1205489.0117991518
736,1,1,Jabalpur,868985.4814087988
1479,3,2,Jabalpur,1630919.7435118519
1314,3,1,Pune,2740640.6073436067
702,1,2,Sagar,682481.3449845543
1014,2,2,Pune,2396160.3678126815
841,2,2,Indore,1364771.1419864993
716,1,2,Rewa,628375.6824622531
630,1,3,Sagar,906820.0664159687
737,1,1,Rewa,851181.2121243905
1109,2,1,Pune,2285554.787936689
1066,2,1,Indore,1147734.4209541238
653,1,3,Rewa,796830.8260988125
747,1,1,Bhopal,867184.8711613647
1400,3,1,Pune,2889511.146312599
1238,3,2,Sagar,1358923.183351053
901,2,1,Noida,2136493.3532852037
1256,3,1,Mumbai,2677572.249916397
1463,3,2,Satna,1552172.0562462467
888,2,1,Pune,2279897.979848099
1225,3,2,Sagar,1292213.5549484487
1285,3,2,Indore,2030315.9672605188
806,2,3,Indore,1237204.6248691266
902,2,3,Noida,1951299.643489924
1330,3,3,Pune,3017316.8882258134
1203,3,3,Satna,1563179.322732102
760,1,1,Pune,1690270.7386220202
1450,3,3,Pune,3067776.6475550127
722,1,2,Noida,1926967.920515316
784,1,2,Indore,956137.4536335103
1264,3,1,Sagar,1313566.9256562819
945,2,2,Bhopal,1148391.5846500255
672,1,1,Indore,827526.1490633136
1260,3,2,Indore,1675546.7381473123
1118,2,3,Satna,1355747.2350816778
603,1,3,Bhopal,917685.4559199653
716,1,3,Jabalpur,1042952.2229613069
1061,2,3,Satna,1206529.907651019
976,2,3,Rewa,1118090.8057593931
1377,3,2,Noida,2957500.644627709
612,1,3,Noida,1525018.236615035
1066,2,1,Pune,2422776.3356260452
1394,3,3,Sagar,1686601.8421802146
723,1,1,Pune,1468198.2334490789
1236,3,1,Pune,2522324.6098327804
644,1,2,Satna,761193.6138221303
655,1,3,Noida,1743135.0125649595
746,1,2,Satna,836947.5009409377
612,1,3,Sagar,884839.7573405157
1387,3,3,Jabalpur,1727859.796064416
1230,3,1,Sagar,1542991.937033706
1155,2,3,Pune,2168101.2613366665
793,1,1,Rewa,691348.5153389741
787,1,3,Pune,1297248.1204460778
757,1,3,Jabalpur,925493.2621350728
1477,3,2,Indore,2014230.1818556709
811,2,3,Mumbai,1825591.4584245903
1105,2,3,Pune,2556004.5158234555
1450,3,1,Bhopal,1669955.4700291308
1025,2,3,Pune,2483366.5587600507
638,1,3,Sagar,782457.104060009
821,2,3,Bhopal,1186076.712399868
1291,3,1,Satna,1438156.251135387
962,2,2,Pune,1846742.7273284132
659,1,2,Satna,704272.5707786903
1398,3,3,Pune,2905000.165110121
747,1,2,Noida,1684183.1642858298
608,1,2,Bhopal,898761.0928966437
716,1,3,Jabalpur,1017018.175423485
663,1,1,Pune,1465528.4917924034
1231,3,3,Jabalpur,1933340.8831932198
1275,3,1,Mumbai,3064527.6424728427
1291,3,2,Jabalpur,1898563.0680589152
632,1,2,Mumbai,1790963.4739634797
953,2,1,Bhopal,1235663.2592650591
942,2,2,Pune,1916966.885788105
1322,3,1,Satna,1310183.326110299
1117,2,2,Bhopal,1380798.1743991354
1407,3,3,Bhopal,1852727.8595953893
1387,3,3,Sagar,1645178.9594515853
1211,3,2,Jabalpur,1631450.2612506049
1487,3,1,Rewa,1406582.8522397394
1010,2,2,Pune,1929502.2513281382
1406,3,1,Jabalpur,1686922.8457750583
758,1,2,Indore,954034.021289915
895,2,2,Mumbai,2281300.584771153
1027,2,1,Pune,2341862.723566924
985,2,3,Noida,2502033.466690659
1239,3,1,Pune,2997498.4611593597
1174,2,3,Pune,2091815.7569045501
1117,2,1,Sagar,910929.75618808
1329,3,1,Bhopal,1499737.9239631908
627,1,3,Sagar,712821.5765513084
717,1,3,Noida,1440325.8111487809
1056,2,1,Sagar,1027578.7592911334
627,1,2,Bhopal,870330.538486248
764,1,3,Indore,1031676.2150184166
1307,3,3,Jabalpur,1959896.2132331822
1092,2,2,Pune,2475196.23928663
778,1,1,Mumbai,1251904.8724820868
1015,2,1,Pune,2246136.894502857
1493,3,3,Pune,2604685.0809017634
1135,2,1,Bhopal,1466941.087890923
607,1,1,Rewa,671258.9187085194
974,2,1,Jabalpur,1375037.6445039238
646,1,2,Satna,820648.3954968187
1488,3,1,Bhopal,1876383.6932939591
991,2,2,Pune,1991800.4298613658
688,1,1,Sagar,812367.502279336
697,1,3,Bhopal,1012627.5000910847
881,2,2,Noida,2443293.1532331533
798,1,2,Jabalpur,851039.429249141
1342,3,1,Rewa,1463330.7345648864
771,1,1,Noida,1158771.6289142778
1309,3,3,Satna,1547159.5199498318
647,1,2,Satna,869754.6298879718
611,1,1,Sagar,627520.9022409363
1220,3,3,Rewa,1375329.4391021961
1323,3,3,Indore,1993731.1779127533
618,1,1,Jabalpur,889330.891148351
626,1,1,Bhopal,1090767.4267859836
801,2,2,Pune,2083000.3176838283
1150,2,1,Rewa,1154739.9579403338
1235,3,1,Satna,1421376.7675846205
1184,2,3,Jabalpur,1238384.4665270606
717,1,3,Jabalpur,995074.8681001302
614,1,2,Sagar,809168.3500028963
667,1,2,Indore,906701.741966257
1345,3,3,Sagar,1584936.5534349063
707,1,3,Mumbai,1746533.294600018
1349,3,1,Mumbai,2533976.4111335445
1277,3,2,Sagar,1586482.725670975
601,1,2,Sagar,750773.8274719513
1040,2,2,Rewa,890315.3085442135
1017,2,3,Bhopal,1264999.4210933738
730,1,1,Bhopal,917107.2664926597
768,1,3,Jabalpur,1051086.7100814679
607,1,3,Indore,1059142.173979952
1099,2,3,Jabalpur,1298284.269990248
1408,3,2,Jabalpur,1983066.4351544394
1463,3,2,Bhopal,1923019.0136501114
1254,3,2,Sagar,1595014.905539109
691,1,3,Rewa,864836.6335720415
1030,2,1,Bhopal,1496970.603083985
741,1,2,Bhopal,865451.8745127557
800,1,1,Pune,1481719.8839149387
1353,3,2,Rewa,1537878.265540113
1300,3,3,Jabalpur,1787196.2118649217
1281,3,1,Jabalpur,1864612.3671893636
1135,2,2,Noida,2106536.8743574517
962,2,1,Indore,1082033.9916808584
1080,2,2,Sagar,1093172.0464351615
709,1,3,Mumbai,1800630.6751173008
1224,3,1,Jabalpur,1915234.6982349784
824,2,1,Pune,1983821.7326719675
1345,3,2,Bhopal,1649463.276783569
1259,3,2,Pune,2770817.0855254973
929,2,2,Sagar,990117.0171120227
882,2,1,Satna,877522.1893245713
616,1,3,Satna,724145.3629090643
777,1,2,Rewa,683496.8436596754
754,1,3,Rewa,795764.2618020383
885,2,3,Indore,1545163.8553299552
678,1,2,Jabalpur,965022.4711485106
1264,3,2,Satna,1406749.7241833839
772,1,2,Indore,896567.4584403457
787,1,3,Mumbai,1589938.3838614777
633,1,2,Bhopal,924797.4999691745
1020,2,3,Sagar,1094034.8607232817
791,1,1,Sagar,782436.1546906434
729,1,1,Mumbai,1522917.263710823
1089,2,1,Rewa,970128.5213888226
1142,2,1,Mumbai,2170589.442292357
607,1,3,Indore,880070.1255566532
708,1,3,Mumbai,1641944.7847896318
1338,3,2,Bhopal,2056773.904241193
1227,3,3,Noida,2803779.976650323
910,2,2,Jabalpur,1028309.7705521885
703,1,3,Satna,784309.4408782558
677,1,2,Bhopal,860678.5429490841
789,1,2,Rewa,819500.8179666447
1468,3,2,Jabalpur,1830634.7652078653
1382,3,2,Mumbai,2581961.22285376
1077,2,1,Pune,1866869.7576991012
719,1,3,Mumbai,1816868.4406348374
1217,3,1,Sagar,1534994.688454456
1101,2,1,Satna,1143696.848345935
1434,3,2,Jabalpur,1754325.024244726
601,1,1,Pune,1340952.486341313
1287,3,3,Noida,2742161.704854605
988,2,3,Indore,1424050.6475794658
1307,3,1,Rewa,1495381.6137066162
705,1,3,Satna,815956.7074568468
1303,3,1,Bhopal,1664537.2321294288
809,2,2,Sagar,1171972.0442386416
885,2,1,Sagar,1210856.5564771278
813,2,2,Mumbai,2363347.568873734
1269,3,3,Rewa,1695893.5454727486
710,1,2,Bhopal,966505.3386870433
1429,3,2,Indore,1784259.4921200194
1459,3,1,Jabalpur,1550425.5615729003
1415,3,1,Noida,2368261.1170626753
1187,2,3,Bhopal,1200547.684043692
1410,3,3,Noida,2499460.610315748
716,1,2,Jabalpur,933041.4319963952
982,2,3,Mumbai,2080327.9928252087
1317,3,1,Sagar,1570082.6924900392
1246,3,3,Jabalpur,1944979.91877022
1289,3,3,Sagar,1502741.3031753362
1149,2,3,Mumbai,2308774.6325703193
708,1,2,Mumbai,1699277.953341594
673,1,1,Indore,977761.7778244527
925,2,2,Bhopal,1301311.0721278498
781,1,2,Sagar,701641.3856797
751,1,3,Bhopal,956236.3893572215
905,2,2,Jabalpur,1439986.1648968945
983,2,1,Bhopal,1086524.2847230625
606,1,2,Mumbai,1391876.8038866168
1402,3,2,Satna,1680029.0769506325
1183,2,2,Satna,1112991.2830349077
681,1,2,Indore,866650.4513701176
688,1,3,Noida,1892272.1933056922
760,1,1,Sagar,645698.9570670672
1488,3,2,Rewa,1433639.8772931758
627,1,1,Pune,1672494.895951845
797,1,2,Jabalpur,1018049.3708654649
801,2,1,Indore,1353886.5997061608
1285,3,1,Rewa,1340512.353467531
1391,3,2,Noida,2748482.269349764
709,1,2,Bhopal,1009713.6751567647
1315,3,1,Jabalpur,1948084.4063562325
865,2,2,Mumbai,1810062.0177116436
843,2,3,Satna,1073196.9210680823
1396,3,1,Pune,3008198.8220208567
884,2,1,Bhopal,1145544.605651082
1067,2,2,Bhopal,1161382.3830242797
1482,3,1,Noida,2553578.357068354
603,1,3,Indore,1033477.9196143306
831,2,2,Noida,1880815.473138287
620,1,3,Rewa,863655.1292658899
927,2,2,Rewa,895857.2080410427
788,1,2,Indore,999412.4618369738
733,1,2,Pune,1670785.152181641
1415,3,1,Indore,1672864.2064420532
1355,3,2,Indore,1958846.7934894378
1137,2,1,Noida,2254212.761918415
616,1,3,Jabalpur,1071107.410208662
1471,3,1,Bhopal,1582022.6890304047
1400,3,3,Rewa,1541670.883702948
942,2,1,Jabalpur,1116066.901486974
1341,3,1,Indore,2022435.966361855
714,1,3,Pune,1801622.0834611375
1290,3,3,Rewa,1388920.7468800663
746,1,2,Noida,1813999.6486737526
1168,2,3,Bhopal,1122077.3648786412
1282,3,2,Sagar,1658535.1799885742
1400,3,2,Noida,2967132.094340824
720,1,3,Rewa,749759.2364649365
1363,3,2,Satna,1225169.3846529669
1421,3,1,Noida,2764493.7479421115
1324,3,2,Sagar,1492596.90922923
610,1,2,Noida,1847856.1219955983
1124,2,1,Indore,1153960.7440679215
788,1,1,Sagar,607474.2350531222
1415,3,1,Pune,2902539.1849366315
1292,3,2,Bhopal,1639864.5699146194
619,1,3,Jabalpur,1091815.6073333167
1141,2,1,Noida,2053736.2395155425
1160,2,3,Rewa,1072098.9709740211
660,1,2,Mumbai,1552507.287941694
1179,2,3,Satna,1032103.2249039229
1436,3,2,Noida,2531060.678115397
648,1,1,Jabalpur,823819.2817805319
791,1,1,Mumbai,1502905.1505552393
1464,3,2,Sagar,1627119.545922031
782,1,3,Rewa,849918.4206063482
738,1,3,Noida,1339801.469977759
1308,3,1,Indore,1750670.193345721
796,1,1,Rewa,621178.6309133188
776,1,3,Rewa,814329.5036569481
1123,2,2,Pune,1955364.9228698385
